athlete_id,Athlete,Team,City,State,Lat,Long
87,Madison Varmette,Freestyle,Park City,Utah,40.6461,-111.498
88,Megan Nick,Freestyle,Park City,Utah,40.6461,-111.498
89,Megan Smallhouse,Freestyle,Park City,Utah,40.6461,-111.498
90,Morgan Northrop,Freestyle,Park City,Utah,40.6461,-111.498
91,Nicholas Novak,Freestyle,Park City,Utah,40.6461,-111.498
92,Quinn Dehlinger,Freestyle,Park City,Utah,40.6461,-111.498
93,Winter Vinecki,Freestyle,Park City,Utah,40.6461,-111.498
94,Alex Lewis,Freestyle,Carlisle,Massachusetts,42.5293,-71.3495
95,Avital Shimko,Freestyle,Park City,Utah,40.6461,-111.498
96,Bradley Wilson,Freestyle,Park City,Utah,40.6461,-111.498
97,Casey Andringa,Freestyle,Vail,Colorado,39.6403,-106.3742
98,Emerson Smith,Freestyle,Park City,Utah,40.6461,-111.498
99,Hannah Soar,Freestyle,Killington,Vermont,43.6776,-72.7798
100,Jaelin Kauf,Freestyle,Salt Lake City,Utah,40.7608,-111.891
101,Jesse Andringa,Freestyle,Park City,Utah,40.6461,-111.498
102,Joel Hedrick,Freestyle,Park City,Utah,40.6461,-111.498
103,Kai Owens,Freestyle,Vail,Colorado,39.6403,-106.3742
104,Kenzie Radway,Freestyle,Steamboat Springs,Colorado,40.485,-106.8317
105,Morgan Schild,Freestyle,Pittsford,New York,43.079,-77.5275
106,Nessa Dziemian,Freestyle,Park City,Utah,40.6461,-111.498
107,Nick Page,Freestyle,Park City,Utah,40.6461,-111.498
108,Olivia Giaccio,Freestyle,Park City,Utah,40.6461,-111.498
109,Sabrina Cass,Freestyle,Park City,Utah,40.6461,-111.498
110,Tess Johnson,Freestyle,Vail,Colorado,39.6403,-106.3742
111,Thomas Rowley,Freestyle,Park City,Utah,40.6461,-111.498
112,Erik Bjornsen,Cross Country,Anchorage,Alaska,61.2181,-149.9003
113,Jessie Diggins,Cross Country,Afton,Minnesota,44.9027,-92.7835
114,Rosie Brennan,Cross Country,Anchorage,Alaska,61.2181,-149.9003
115,Sadie Maubet Bjornsen,Cross Country,Anchorage,Alaska,61.2181,-149.9003
116,Simi Hamilton,Cross Country,Stratton Mountain,Vermont,43.1134,-72.9081
117,Sophie Caldwell,Cross Country,Peru,Vermont,43.2298,-72.8979
118,Caitlin Patterson,Cross Country,Craftsbury,Vermont,44.6367,-72.3726
119,Hailey Swirbul,Cross Country,Anchorage,Alaska,61.2181,-149.9003
120,Julia Kern,Cross Country,Waltham,Massachusetts,42.3765,-71.2356
121,Kevin Bolger,Cross Country,Sun Valley,Idaho,43.6971,-114.3517
122,Scott Patterson,Cross Country,Anchorage,Alaska,61.2181,-149.9003
123,Benjamin Ogden,Cross Country,Landgrove,Vermont,43.2624,-72.8549
124,Gus Schumacher,Cross Country,Anchorage,Alaska,61.2181,-149.9003
125,Hannah Halvorsen,Cross Country,Truckee,California,39.328,-120.1833
126,Johnny Hagenbuch,Cross Country,Ketchum,Idaho,43.6807,114.3637
127,Kendall Kramer,Cross Country,Fairbanks,Alaska,64.8378,-147.7164
128,Luke Jager,Cross Country,Anchorage,Alaska,61.2181,-149.9003
129,Noel Keeffe,Cross Country,Steamboat Springs,Colorado,40.485,-106.8317
130,Novie McCabe,Cross Country,Winthrop,Washington,48.4779,-120.1862
131,Zak Ketterson,Cross Country,Marquette,Michigan,46.5436,-87.3954
132,Annika Belshaw,Ski Jumping,Steamboat,Colorado,40.485,-106.8317
133,Casey Larson,Ski Jumping,Barrington,Illinois,42.1539,-88.1362
134,Decker Dean,Ski Jumping,Steamboat Springs,Colorado,40.485,-106.8317
135,Kevin Bickner,Ski Jumping,Wauconda,Illinois,42.2589,-88.1392
136,Logan Sankey,Ski Jumping,Steamboat,Colorado,40.485,-106.8317
137,Nina Lussi,Ski Jumping,Ljubljana,Slovenia,46.0569,14.5058
138,Nita Englund,Ski Jumping,Florence,Wisconsin,45.9224,-88.252
139,Sam Macuga,Ski Jumping,Park City,Utah,40.6461,-111.498
140,Sarah Hendrickson,Ski Jumping,Park City,Utah,40.6461,-111.498
141,Tara Geraghty-Moats,Ski Jumping,West Fairlee,Vermont,43.9092,-72.2629
142,Ben Loomis,Nordic Combined,Eau Claire,Wisconsin,44.8113,-91.4985
143,Grant Andrews,Nordic Combined,Steamboat Springs,Colorado,40.485,-106.8317
144,Jared Shumate,Nordic Combined,Park City,Utah,40.6461,-111.498
145,Jasper Good,Nordic Combined,Steamboat Springs,Colorado,40.485,-106.8317
146,Stephen Schumann,Nordic Combined,Park City,Utah,40.6461,-111.498
147,Tara Geraghty-Moats,Nordic Combined,West Fairlee,Vermont,43.9092,-72.2629
148,Taylor Fletcher,Nordic Combined,Park City,Utah,40.6461,-111.498
149,Arielle Gold,Snowboard,Breckenridge,Colorado,39.4817,-106.0384
150,Chase Blackwell,Snowboard,Dillon,Colorado,39.6303,-106.0434
151,Chase Josey,Snowboard,Hailey,Idaho,43.5196,-114.3153
152,Chloe Kim,Snowboard,Torrance,California,33.8358,-118.3406
153,Jake Pates,Snowboard,Eagle,Colorado,39.6553,-106.8287
154,Maddie Mastro,Snowboard,Wrightwood,California,34.3608,-117.6334
155,Ryan Wachendorfer,Snowboard,Vail,Colorado,39.6403,-106.3742
156,Taylor Gold,Snowboard,Breckenridge,Colorado,39.4817,-106.0384
157,Toby Miller,Snowboard,Mammoth Lakes,California,37.6485,-118.9721
158,Chris Corning,Snowboard,Avon,Colorado,39.6331,-106.5222
159,Hailey Langland,Snowboard,San Clemente,California,33.4274,-117.6126
160,Jamie Anderson,Snowboard,Lake Tahoe,California,39.0968,-120.0324
161,Judd Henkes,Snowboard,La Jolla,California,32.8328,-117.2713
162,Julia Marino,Snowboard,Westport,Connecticut,41.1415,-73.3579
163,Kyle Mack,Snowboard,West Bloomfield,Michigan,42.5679,-83.3733
164,Luke Winkelmann,Snowboard,Blowing Rock,North Carolina,36.1351,-81.6776
165,Lyon Farrell,Snowboard,Haiku,Hawaii,20.9175,-156.3258
166,Red Gerard,Snowboard,Silverthorne,Colorado,39.6296,-106.0713
167,Ryan Stassel,Snowboard,Anchorage,Alaska,61.2181,-149.9003
168,Sean FitzSimons,Snowboard,Hood River,Oregon,45.7068,-121.5281
169,Jack Coyne,Snowboard,Edwards,Colorado,39.5764,-106.7235
170,Jason Wolle,Snowboard,Winter Park,Colorado,39.8917,-105.7631
171,Lucas Foster,Snowboard,Telluride,Colorado,37.9375,-107.8123
172,Tessa Maud,Snowboard,Carlsbad,California,33.1581,-117.3506
173,Addie Gardner,Snowboard,Riegelsville,Pennsylvania,40.5943,-75.1955
174,Courtney Rummel,Snowboard,West Bend,Wisconsin,43.4253,-88.1834
175,Dusty Henricksen,Snowboard,Mammoth Lakes,California,37.6485,-118.9721
176,Jade Thurgood,Snowboard,Salt Lake City,Utah,40.7608,-111.891
177,Jake Canter,Snowboard,Evergreen,Colorado,39.6333,-105.3172
178,Ty Schnorrbusch,Snowboard,Frisco,Colorado,39.5744,-106.0975
179,Alex Deibold,Snowboard,Salt Lake City,Utah,40.7608,-111.891
180,Faye Gulini,Snowboard,Salt Lake City,Utah,40.7608,-111.891
