,Name,Team,City,State
10,Scott Patterson,Cross Country,Anchorage,Alaska
11,Benjamin Ogden,Cross Country,Landgrove,Vt.
12,Gus Schumacher,Cross Country,Anchorage,Alaska
13,Hannah Halvorsen,Cross Country,Truckee,Calif.
14,Johnny Hagenbuch,Cross Country,Ketchum,Idaho
15,Kendall Kramer,Cross Country,Fairbanks,Alaska
16,Luke Jager,Cross Country,Anchorage,Alaska
17,Noel Keeffe,Cross Country,Steamboat Springs,Colo.
18,Novie McCabe,Cross Country,Winthrop,Wash.
19,Zak Ketterson,Cross Country,Marquette,Mich.
0,Annika Belshaw,Ski Jumping,Steamboat,Colo.
1,Casey Larson,Ski Jumping,Barrington,Ill.
2,Decker Dean,Ski Jumping,Steamboat Springs,Colo.
3,Kevin Bickner,Ski Jumping,Wauconda,Ill.
4,Logan Sankey,Ski Jumping,Steamboat,Colo.
5,Nina Lussi,Ski Jumping,Ljubljana,SLO
6,Nita Englund,Ski Jumping,Florence,Wis.
7,Sam Macuga,Ski Jumping,Park City,Utah
8,Sarah Hendrickson,Ski Jumping,Park City,Utah
9,Tara Geraghty-Moats,Ski Jumping,West Fairlee,Vt.
0,Ben Loomis,Nordic Combined,Eau Claire,Wis.
1,Grant Andrews,Nordic Combined,Steamboat Springs,Colo.
2,Jared Shumate,Nordic Combined,Park City,Utah
3,Jasper Good,Nordic Combined,Steamboat Springs,Colo.
4,Stephen Schumann,Nordic Combined,Park City,Utah
5,Tara Geraghty-Moats,Nordic Combined,West Fairlee,Vt.
6,Taylor Fletcher,Nordic Combined,Park City,Utah
0,Arielle Gold,Snowboard,Breckenridge,Colo.
1,Chase Blackwell,Snowboard,Dillon,Colo.
2,Chase Josey,Snowboard,Hailey,Idaho
3,Chloe Kim,Snowboard,Torrance,Calif.
4,Jake Pates,Snowboard,Eagle,Colo.
5,Maddie Mastro,Snowboard,Wrightwood,Calif.
6,Ryan Wachendorfer,Snowboard,Vail,Colo.
7,Taylor Gold,Snowboard,Breckenridge,Colo.
8,Toby Miller,Snowboard,Mammoth Lakes,Calif.
9,Chris Corning,Snowboard,Avon,Colo. 
10,Hailey Langland,Snowboard,San Clemente,Calif.
11,Jamie Anderson,Snowboard,South Lake Tahoe,Calif.
12,Judd Henkes,Snowboard,La Jolla,Calif
13,Julia Marino,Snowboard,Westport,Conn.
14,Kyle Mack,Snowboard,West Bloomfield,Mich
15,Luke Winkelmann,Snowboard,Blowing Rock,N.C.
16,Lyon Farrell,Snowboard,Haiku,Hawaii
17,Red Gerard,Snowboard,Silverthorne,Colo.
18,Ryan Stassel,Snowboard,Anchorage,Alaska
19,Sean FitzSimons,Snowboard,Hood River,Ore.
20,Jack Coyne,Snowboard,Edwards,Colo.
21,Jason Wolle,Snowboard,Winter Park,Colo.
22,Lucas Foster,Snowboard,Telluride,Colo.
23,Tessa Maud,Snowboard,Carlsbad,Calif.
24,Addie Gardner,Snowboard,Riegelsville,Penn.
25,Courtney Rummel,Snowboard,West Bend,Wisc.
26,Dusty Henricksen,Snowboard,Mammoth Lakes,Calif.
27,Jade Thurgood,Snowboard,Salt Lake City,Utah
28,Jake Canter,Snowboard,Evergreen,Colo.
29,Ty Schnorrbusch,Snowboard,Frisco,Colo.
30,Alex Deibold,Snowboard,Salt Lake City,UT 
31,Faye Gulini,Snowboard,Salt Lake City,Utah
32,Hagen Kearney,Snowboard,Silverthorne,Colo.
33,Jake Vedder,Snowboard,Pinckney,Mich.
34,Lindsey Jacobellis,Snowboard,Stratton Mountain,Vt.
35,Mick Dierdorff,Snowboard,Steamboat Springs,Colo.
36,Nick Baumgartner,Snowboard,Iron River,Mich.
37,Nate Holland,Snowboard,Squaw Valley,Calif.
38,Rosie Mancari,Snowboard,Anchorage,Alaska
39,Senna Leith,Snowboard,Vail. Colo.,
40,Livia Molodyh,Snowboard,Hubbard,Ore.
41,Meghan Tierney,Snowboard,Eagle,Colo.
42,Mikey LaCroix,Snowboard,Shrewsbury,Mass.
43,Stacy Gaskill,Snowboard,Golden,Colo.
44,"Aaron ""AJ"" Muss",Snowboard,Rumson,N.J.
